Author ID,EID,Full Name,Surname,Given Name,Affiliation Name,Affiliation ID,Citation Count,Cited By Count,H-Index,Document Count,Subject Areas,Coauthor Count,Publication Start Year,Publication End Year
7007071352,9-s2.0-7007071352,Gelman A.,Gelman,Andrew E.,Columbia University,60030162,68006,51242,85,338,,619,1987,2024
6603282275,9-s2.0-6603282275,van Osselaer S.,van Osselaer,Stijn M.J.,Cornell SC Johnson College of Business,60116635,2370,2109,23,49,,64,2000,2024
7006009595,9-s2.0-7006009595,Wedel M.,Wedel,Michel,Robert H. Smith School of Business,60097292,13616,10495,62,195,,205,1983,2024
57218621436,9-s2.0-57218621436,Jung S.,Jung,Sung-jin,CUHK Business School,60256697,77,77,2,3,,4,2021,2024
35745676400,9-s2.0-35745676400,Chen C.,Chen,Charlene,Nanyang Business School,60112754,265,265,6,8,,20,2010,2024
34871034300,9-s2.0-34871034300,Yap A.,Yap,Andy J.,"INSEAD, Department of Organizational Behavior",131024535,1329,1132,11,19,,27,2009,2024
57195535068,9-s2.0-57195535068,Hüttl-Maack V.,Hüttl-Maack,Verena,Universität Hohenheim,60018373,485,462,8,17,,38,2010,2024
58340430400,9-s2.0-58340430400,Sedghi T.,Sedghi,Tara M.,"Universität Hohenheim, Institute of Marketing and Management",118588228,3,3,1,1,,2,2023,2023
57209914101,9-s2.0-57209914101,Daume J.,Daume,Jana M.,"Universität Hohenheim, Institute of Marketing and Management",118588228,41,40,2,3,,2,2020,2023
24391534400,9-s2.0-24391534400,Shepherd S.,Shepherd,Steven,"Spears School of Business at Oklahoma State University, School of Marketing and International Business",126196717,981,851,15,34,,43,2008,2024
58307560100,9-s2.0-58307560100,Teymouri Athar H.,Teymouri Athar,Hesam,Spears School of Business at Oklahoma State University,60159673,2,2,1,1,,2,2023,2023
58308006800,9-s2.0-58308006800,Zaboli S.,Zaboli,Sahel,Spears School of Business at Oklahoma State University,60159673,2,2,1,1,,2,2023,2023
6603735772,9-s2.0-6603735772,Shrum L.,Shrum,L. J.,"École des hautes études commerciales de Paris, Department of Marketing",100283434,6457,5180,36,92,,130,1993,2024
57206674355,9-s2.0-57206674355,Bechler C.,Bechler,Christopher J.,"Mendoza College of Business, College of Business",131450704,125,119,6,11,,11,2015,2024
57225244236,9-s2.0-57225244236,Lutfeali S.,Lutfeali,Samina,Stanford Graduate School of Business,60020928,55,48,4,6,,51,2017,2023
56140205200,9-s2.0-56140205200,Huang S.,Huang,Szuchi,Stanford University,60012708,558,429,14,27,,26,2010,2024
58309049200,9-s2.0-58309049200,Morris J.,Morris,Joshua I.,Stanford University,60012708,2,2,1,2,,3,2023,2023
6602688313,9-s2.0-6602688313,Belk R.,Belk,Russell V.,Birmingham Business School,60172646,14200,10481,48,248,,195,1982,2024
56060853200,9-s2.0-56060853200,Hadi R.,Hadi,Rhonda,University of Oxford,60026851,1297,1271,11,19,,53,2014,2024
57191891792,9-s2.0-57191891792,Melumad S.,Melumad,Shiri,"University of Pennsylvania, Wolpow Family Faculty",130305039,489,439,8,10,,12,2017,2023
58308867800,9-s2.0-58308867800,Park E.,Park,Eric S.,Columbia University,60030162,86,86,1,2,,2,2024,2024
58157287500,9-s2.0-58157287500,Lin H.,Lin,Haichao,School of Management Fudan University,60116864,2,2,1,2,,3,2022,2023
57199199914,9-s2.0-57199199914,Xu Q.,Xu,Qian,School of Management Fudan University,60116864,205,204,8,16,,22,2008,2023
35269058000,9-s2.0-35269058000,Jin L.,Jin,Liyin,School of Management Fudan University,60116864,769,743,14,36,,26,2009,2024
55461273000,9-s2.0-55461273000,Jain S.,Jain,Shailendra Pratap,Foster School of Business,60116364,1297,1111,21,47,,48,1993,2024
26029480100,9-s2.0-26029480100,Mathur P.,Mathur,Pragya,"Baruch College, Zicklin School of Business",104544825,355,276,8,14,,21,2009,2024
55323072200,9-s2.0-55323072200,Isaac M.,Isaac,Mathew S.,"Seattle University, Department of Marketing",100248979,835,810,11,33,,31,2009,2024
14034040300,9-s2.0-14034040300,Mao H.,Mao,Huifang,Debbie and Jerry Ivy College of Business,60116591,557,536,10,17,,156,2006,2024
6602189872,9-s2.0-6602189872,Maheswaran D.,Maheswaran,Durairaj Mahesh,Leonard N. Stern School of Business,60108316,4997,4273,26,50,,91,1984,2024
57226178443,9-s2.0-57226178443,Hong J.,Hong,Jennifer Seokhwa,"Seattle University, Albers School of Business and Economics",103754315,0,0,0,1,,2,2024,2024
55899207500,9-s2.0-55899207500,Longoni C.,Longoni,Chiara,"Università Bocconi, Department of Marketing",104114214,1450,1246,12,16,,520,2014,2024
6701407388,9-s2.0-6701407388,Morwitz V.,Morwitz,Vicki G.,Columbia Business School,60027552,4122,3560,32,72,,94,1991,2024
57194195755,9-s2.0-57194195755,Yu S.,Yu,Shubin,"Handelshøyskolen BI, Department of Communication and Culture",103443160,748,713,10,23,,24,2017,2024
